DataZone,Attainment,crime_rate,crime_count,CIF,not_participating,ALCOHOL,DRUG,EMERG,SMR,University,broadband,DEPRESS,LBWT,PT_GP,PT_post,PT_retail,drive_GP,drive_petrol,drive_post,drive_primary,drive_retail,drive_secondary,employment_count,employment_rate,income_count,income_rate,no_qualifications,nocentralheating_count,nocentralheating_rate,overcrowded_count,overcrowded_rate
S01009758,6.05,81,5,85,0,42,24,89,176,12,0,22,11,11.63111204,10.2506689,10.39843227,3.084703177,2.040748328,2.788879599,4.274135802,3.1315510030000002,4.541445783,22,5,20,3,100,43,8,73,13
S01009759,5.38,561,48,240,9,281,236,142,167,9,0,26,7,4.641284797,5.09006424,6.609694861,1.55241167,3.578367238,1.743391328,2.308575758,2.96126606,5.923537234,153,27,387,45,202,29,3,223,24
S01009760,4.82,318,27,195,9,80,120,119,142,7,0,27,5,6.407102464,6.119720045,7.519862822,1.820699888,2.469767637,1.790475924,2.941404255,3.057891937,5.061041667,96,18,194,23,205,8,1,173,19
S01009761,5.69,83,7,120,7,17,50,102,117,15,0,23,8,9.419197802,8.381563187,10.10543956,2.703337912,2.504126374,2.485582418,3.777760736,3.348901099,5.016263736,45,8,106,13,147,24,3,122,13
S01009762,5.33,340,40,165,3,165,80,98,121,4,0,24,9,3.151403888,2.78200324,7.058887689,0.971444384,2.618941685,0.879530238,2.058761062,3.241455184,4.971113861,102,13,299,25,219,6,1,201,22
S01009763,6.06,51,4,50,0,10,0,59,23,19,0,13,7,14.56610751,12.79556671,12.61610751,3.650365933,2.588581606,3.521599741,3.663134328,3.67869171,4.498322148,20,4,39,5,71,9,1,72,9
S01009764,5.62,336,23,190,4,187,201,118,143,9,0,24,8,9.520178042,8.668976261,8.172603858,3.868757418,1.50194362,3.763642433,2.295120482,2.227347923,6.536657143,84,18,192,28,197,7,1,123,18
S01009765,5.93,131,13,135,2,255,28,136,155,18,0,24,7,11.22690137,10.43245339,9.890858685,3.766781158,1.890080962,3.880819431,2.002591241,2.614465162,6.898061594,61,10,160,16,159,17,2,191,20
S01009766,5.78,273,14,95,1,81,53,94,89,20,0,21,0,11.59982238,13.01732238,9.645586146,3.811301066,2.687717584,3.673592362,4.12,3.740217584,4.938333333,21,5,30,6,118,23,4,89,16
S01009767,5.5,750,82,165,2,120,113,102,314,17,1,25,3,12.23968133,10.60695242,10.36834381,4.038833034,1.706606822,3.13040395,2.365391304,2.607621185,6.368563218,75,10,159,14,212,3,1,89,17
S01009768,5.38,173,13,170,8,129,104,102,137,11,0,19,5,10.44887295,8.23377459,9.99307377,3.068319672,2.542758197,2.518819672,4.23689243,3.028172131,4.270053763,82,16,160,21,179,6,1,137,22
S01009769,5.77,227,26,90,4,51,12,115,238,16,1,19,0,10.21087234,11.22894681,8.996765957,3.696875887,2.952776596,3.701939716,4.474521531,3.864429078,4.567759197,28,4,85,7,90,12,2,77,13
S01009770,6.17,106,7,90,1,59,0,94,80,12,0,18,13,16.28119198,13.15451477,8.182243319,4.753291139,2.282640647,3.974866385,3.082884615,2.138966245,7.076388889,27,6,50,8,116,3,0,117,16
S01009771,5.94,48,4,100,0,31,17,86,90,17,18,17,7,16.05557432,13.25584459,8.051570946,4.615692568,2.158538851,4.153048986,3.334328704,1.568935811,7.195211268,29,5,78,9,104,1,0,86,10
S01009772,5.81,56,4,45,1,71,42,87,46,13,0,20,9,11.5526063,12.9701063,11.1052126,3.494102362,3.269826772,3.765200787,4.750136054,4.157015748,4.621716418,24,5,42,6,113,33,5,104,16
