DataZone,raw_kmeans_k2,pc_kmeans_k2,raw_hclust_k2,pc_hclust_k2,raw_cmeans_k2,pc_cmeans_k2,raw_mclust_k2,pc_mclust_k2
S01009758,1,2,1,1,1,1,1,1
S01009759,2,1,2,2,2,2,1,1
S01009760,2,1,2,2,2,2,1,1
S01009761,1,2,1,1,1,1,1,1
S01009762,2,1,2,2,2,2,1,1
S01009763,1,2,1,1,1,1,1,1
S01009764,2,1,1,2,2,2,1,1
S01009765,1,2,1,2,1,1,1,1
S01009766,1,2,1,1,1,1,1,1
S01009767,1,2,1,2,1,1,2,2
S01009768,1,2,2,2,1,1,1,1
S01009769,1,2,1,1,1,1,2,1
S01009770,1,2,1,1,1,1,1,1
S01009771,1,2,1,1,1,1,2,2
S01009772,1,2,1,1,1,1,1,1
S01009774,1,2,1,1,1,1,1,1
S01009775,2,1,2,2,2,2,2,2
S01009776,2,1,2,2,2,2,2,1
S01009777,2,1,2,2,2,2,2,2
S01009778,2,1,2,2,2,2,1,1
S01009779,2,1,2,2,2,2,1,1
S01009780,2,1,2,2,2,2,1,1
S01009781,2,1,2,2,2,2,1,1
S01009782,2,1,1,2,2,2,1,1
S01009783,2,1,2,2,2,2,1,1
S01009784,2,1,1,2,2,2,1,1
S01009785,2,1,2,2,2,2,1,1
S01009786,2,1,2,2,2,2,1,1
S01009787,2,1,2,2,2,2,1,1
S01009788,1,2,1,2,1,1,2,1
S01009789,2,1,2,2,2,2,2,2
S01009790,2,1,1,2,2,2,2,1
S01009791,2,1,2,2,2,2,1,1
S01009792,1,2,1,1,1,1,1,1
S01009793,1,2,1,1,1,1,2,1
S01009794,1,2,1,1,1,1,1,1
S01009795,1,2,1,1,1,1,1,1
S01009797,1,2,1,1,1,1,2,1
S01009798,1,2,1,1,1,1,1,1
S01009799,2,1,2,2,2,2,1,2
S01009800,2,1,1,2,2,2,1,1
S01009801,2,1,2,2,2,2,1,1
S01009802,2,1,1,2,2,2,1,1
S01009803,2,1,2,2,2,2,1,1
S01009805,2,1,1,2,2,2,1,1
S01009806,2,1,2,2,2,2,2,2
S01009807,1,2,1,2,1,1,1,1
S01009808,1,2,1,2,1,1,2,1
S01009809,1,2,1,2,1,1,1,1
S01009810,2,1,2,2,2,2,1,1
S01009811,2,1,2,2,2,2,1,1
S01009812,2,1,2,2,2,2,1,1
S01009813,2,1,2,2,2,2,2,2
S01009814,1,2,2,1,1,1,2,1
S01009815,1,2,2,2,1,1,1,1
S01009816,1,2,1,1,1,1,1,1
S01009817,1,2,1,2,1,1,1,1
S01009818,1,2,1,1,1,1,2,1
S01009819,1,2,2,1,1,1,2,1
S01009820,1,2,2,1,1,1,1,1
S01009821,1,2,2,1,1,1,2,2
S01009822,1,2,1,1,1,1,1,1
S01009823,2,1,1,2,2,2,1,1
S01009824,1,2,1,2,1,1,1,1
S01009825,2,1,1,2,2,2,1,1
S01009826,2,1,1,2,2,2,1,1
S01009827,2,1,1,2,2,2,1,1
S01009828,2,1,2,2,2,2,1,1
S01009829,2,1,2,2,2,2,2,2
S01009830,1,2,2,2,1,1,2,2
S01009831,1,2,2,1,1,1,1,1
S01009832,1,2,2,1,1,1,1,1
S01009833,2,1,2,2,2,2,2,2
S01009834,2,1,1,2,2,2,1,1
S01009835,2,1,1,2,2,2,1,1
S01009836,1,2,1,1,1,1,1,1
S01009837,2,1,1,2,2,2,1,1
S01009838,2,1,2,2,2,2,1,1
S01009839,2,1,2,2,2,2,1,1
S01009840,2,1,2,2,2,2,1,1
S01009841,2,1,2,2,2,2,1,1
S01009842,2,1,2,2,2,2,2,2
S01009843,2,1,2,2,2,2,2,2
S01009844,2,1,2,2,2,2,2,2
S01009845,2,1,2,1,2,2,1,2
S01009846,2,1,2,2,2,2,1,1
S01009847,2,1,2,2,2,2,1,1
S01009848,2,1,1,2,2,2,1,1
S01009849,2,1,2,2,2,2,1,1
S01009850,1,2,2,1,1,1,1,1
S01009851,2,1,1,2,2,2,1,1
S01009852,1,2,1,2,1,1,2,2
S01009853,1,2,1,2,1,1,1,1
S01009854,2,1,1,2,2,2,1,1
S01009855,1,2,1,2,1,1,1,1
S01009856,1,2,1,2,1,1,1,1
S01009857,1,2,1,2,1,1,1,1
S01009858,1,2,1,2,1,1,1,1
S01009859,2,1,2,2,2,2,2,1
S01009860,2,1,2,2,2,2,1,1
S01009861,2,1,2,2,2,2,2,2
S01009862,2,1,2,2,2,2,2,2
S01009863,2,1,2,1,2,2,1,1
S01009864,1,1,2,1,1,2,1,1
S01009865,1,2,2,1,1,1,1,1
S01009866,1,2,2,2,1,1,1,1
S01009867,1,1,2,2,1,2,2,2
S01009868,1,2,1,1,1,1,1,1
S01009869,1,2,1,1,1,1,2,2
S01009870,1,2,2,1,1,1,1,1
S01009871,2,1,2,2,2,2,1,2
S01009872,1,2,2,1,1,1,1,1
S01009873,1,2,1,2,1,1,2,1
S01009874,1,2,1,2,1,1,2,2
S01009875,2,1,2,1,2,2,2,2
S01009876,2,1,2,2,2,2,1,2
S01009877,1,2,1,1,1,1,2,1
S01009878,1,2,2,1,1,1,1,1
S01009879,1,2,1,1,1,1,2,2
S01009880,1,2,1,1,1,1,1,1
S01009881,1,2,2,1,1,1,1,2
S01009882,1,2,2,1,1,1,2,2
S01009883,1,2,2,1,1,1,1,2
S01009884,1,2,2,1,1,1,2,2
S01009885,1,2,2,1,1,1,1,1
S01009886,1,2,2,1,1,1,2,2
S01009887,2,1,2,1,2,2,2,2
S01009888,2,1,2,1,2,2,2,2
S01009889,2,1,2,1,2,2,1,2
S01009890,2,1,2,1,2,2,1,2
S01009891,1,2,2,1,1,1,1,1
S01009892,2,1,2,2,2,2,1,1
S01009893,2,1,2,1,2,2,1,2
S01009894,2,1,2,2,2,2,1,1
S01009895,2,1,2,2,2,2,1,1
S01009896,2,1,2,2,2,2,1,1
S01009897,1,2,2,1,1,1,1,1
S01009898,2,1,2,2,2,2,2,2
S01009899,1,2,2,1,1,1,1,2
S01009900,1,2,2,1,1,1,2,1
S01009901,1,2,2,1,1,1,2,1
S01009902,1,2,1,1,1,1,1,1
S01009903,1,2,1,1,1,1,1,1
S01009904,1,2,2,1,1,1,2,2
S01009905,1,2,2,1,1,1,2,2
S01009906,1,2,2,1,1,1,1,2
S01009908,1,2,1,1,1,1,2,1
S01009909,1,2,1,1,1,1,1,1
S01009910,1,2,1,1,1,1,1,1
