DataZone,cluster_1_membership,cluster_2_membership,max_membership,hard_label,core_borderline_flag
S01009758,0.7407459758051996,0.2592540241948004,0.7407459758051996,1,core
S01009759,0.173493280365373,0.826506719634627,0.826506719634627,2,core
S01009760,0.2510330140533254,0.7489669859466744,0.7489669859466744,2,core
S01009761,0.8155080787128368,0.1844919212871633,0.8155080787128368,1,core
S01009762,0.410965437017756,0.5890345629822439,0.5890345629822439,2,borderline
S01009763,0.7282573172931406,0.27174268270685936,0.7282573172931406,1,core
S01009764,0.4460163839670741,0.5539836160329259,0.5539836160329259,2,borderline
S01009765,0.643079642695846,0.35692035730415395,0.643079642695846,1,core
S01009766,0.7183064371067341,0.28169356289326586,0.7183064371067341,1,core
S01009767,0.5561345706890266,0.4438654293109734,0.5561345706890266,1,borderline
S01009768,0.5699451518478896,0.4300548481521105,0.5699451518478896,1,borderline
S01009769,0.7275909809886453,0.2724090190113546,0.7275909809886453,1,core
S01009770,0.6699028296805738,0.33009717031942615,0.6699028296805738,1,core
S01009771,0.6368339510410124,0.36316604895898763,0.6368339510410124,1,core
S01009772,0.7194516155871076,0.2805483844128924,0.7194516155871076,1,core
S01009774,0.6530444976223893,0.3469555023776108,0.6530444976223893,1,core
S01009775,0.24487338944756426,0.7551266105524358,0.7551266105524358,2,core
S01009776,0.2238410198153942,0.7761589801846057,0.7761589801846057,2,core
S01009777,0.34634879987370765,0.6536512001262923,0.6536512001262923,2,core
S01009778,0.19502436441249676,0.8049756355875032,0.8049756355875032,2,core
S01009779,0.18176888681601452,0.8182311131839856,0.8182311131839856,2,core
S01009780,0.28452880476026554,0.7154711952397345,0.7154711952397345,2,core
S01009781,0.3041637769982722,0.6958362230017278,0.6958362230017278,2,core
S01009782,0.48627552502136184,0.5137244749786383,0.5137244749786383,2,borderline
S01009783,0.27089471421940536,0.7291052857805946,0.7291052857805946,2,core
S01009784,0.25486334033594643,0.7451366596640535,0.7451366596640535,2,core
S01009785,0.13528379357600723,0.8647162064239927,0.8647162064239927,2,core
S01009786,0.16873936817851543,0.8312606318214845,0.8312606318214845,2,core
S01009787,0.16767336370443278,0.8323266362955672,0.8323266362955672,2,core
S01009788,0.5684517746507798,0.4315482253492203,0.5684517746507798,1,borderline
S01009789,0.3623208207864242,0.6376791792135758,0.6376791792135758,2,core
S01009790,0.48802313479129916,0.5119768652087009,0.5119768652087009,2,borderline
S01009791,0.20893415162004228,0.7910658483799577,0.7910658483799577,2,core
S01009792,0.76224902157226,0.23775097842774,0.76224902157226,1,core
S01009793,0.8077128529820838,0.1922871470179162,0.8077128529820838,1,core
S01009794,0.7559909705763035,0.24400902942369646,0.7559909705763035,1,core
S01009795,0.7479386959067619,0.2520613040932381,0.7479386959067619,1,core
S01009797,0.8095476655621988,0.19045233443780124,0.8095476655621988,1,core
S01009798,0.7556815710689062,0.24431842893109382,0.7556815710689062,1,core
S01009799,0.21844616664463887,0.7815538333553611,0.7815538333553611,2,core
S01009800,0.39388198414882575,0.6061180158511742,0.6061180158511742,2,core
S01009801,0.3779373120782247,0.6220626879217753,0.6220626879217753,2,core
S01009802,0.45116103882997227,0.5488389611700276,0.5488389611700276,2,borderline
S01009803,0.25418924687962735,0.7458107531203727,0.7458107531203727,2,core
S01009805,0.36444803062543213,0.6355519693745679,0.6355519693745679,2,core
S01009806,0.27028579448085105,0.729714205519149,0.729714205519149,2,core
S01009807,0.785875157773814,0.2141248422261859,0.785875157773814,1,core
S01009808,0.5304630056730301,0.46953699432697,0.5304630056730301,1,borderline
S01009809,0.6755217159194375,0.3244782840805625,0.6755217159194375,1,core
S01009810,0.13481029057516344,0.8651897094248366,0.8651897094248366,2,core
S01009811,0.14990991895399686,0.8500900810460031,0.8500900810460031,2,core
S01009812,0.4340617119741486,0.5659382880258513,0.5659382880258513,2,borderline
S01009813,0.2190238054137539,0.7809761945862461,0.7809761945862461,2,core
S01009814,0.6688227700009454,0.3311772299990547,0.6688227700009454,1,core
S01009815,0.514091492219424,0.4859085077805761,0.514091492219424,1,borderline
S01009816,0.6874329464122477,0.3125670535877523,0.6874329464122477,1,core
S01009817,0.6325153993273297,0.36748460067267036,0.6325153993273297,1,core
S01009818,0.8134898159348946,0.18651018406510542,0.8134898159348946,1,core
S01009819,0.5434026664776896,0.45659733352231036,0.5434026664776896,1,borderline
S01009820,0.741375950281373,0.25862404971862696,0.741375950281373,1,core
S01009821,0.5539999161451982,0.4460000838548017,0.5539999161451982,1,borderline
S01009822,0.73787508519598,0.26212491480402006,0.73787508519598,1,core
S01009823,0.4472831312960511,0.5527168687039489,0.5527168687039489,2,borderline
S01009824,0.57978220130376,0.42021779869624004,0.57978220130376,1,borderline
S01009825,0.3775483507443228,0.6224516492556772,0.6224516492556772,2,core
S01009826,0.4626665753247603,0.5373334246752398,0.5373334246752398,2,borderline
S01009827,0.40625942703437873,0.5937405729656212,0.5937405729656212,2,borderline
S01009828,0.2027367172654159,0.7972632827345842,0.7972632827345842,2,core
S01009829,0.33803027072557,0.66196972927443,0.66196972927443,2,core
S01009830,0.5556443647330107,0.4443556352669893,0.5556443647330107,1,borderline
S01009831,0.5765458632199412,0.4234541367800588,0.5765458632199412,1,borderline
S01009832,0.6859573529730376,0.31404264702696244,0.6859573529730376,1,core
S01009833,0.46602946874910134,0.5339705312508987,0.5339705312508987,2,borderline
S01009834,0.46001763924545463,0.5399823607545453,0.5399823607545453,2,borderline
S01009835,0.23537615973314086,0.7646238402668591,0.7646238402668591,2,core
S01009836,0.6351341757955032,0.36486582420449687,0.6351341757955032,1,core
S01009837,0.36185447553945677,0.6381455244605433,0.6381455244605433,2,core
S01009838,0.4403394063334163,0.5596605936665837,0.5596605936665837,2,borderline
S01009839,0.18095628383233828,0.8190437161676618,0.8190437161676618,2,core
S01009840,0.35771506476870435,0.6422849352312956,0.6422849352312956,2,core
S01009841,0.2656026313864971,0.7343973686135029,0.7343973686135029,2,core
S01009842,0.22186702258993085,0.778132977410069,0.778132977410069,2,core
S01009843,0.26013026136650097,0.739869738633499,0.739869738633499,2,core
S01009844,0.26879800942361615,0.7312019905763839,0.7312019905763839,2,core
S01009845,0.31679626277523826,0.6832037372247618,0.6832037372247618,2,core
S01009846,0.17939236658120541,0.8206076334187946,0.8206076334187946,2,core
S01009847,0.202500777118851,0.7974992228811489,0.7974992228811489,2,core
S01009848,0.09056872506129254,0.9094312749387075,0.9094312749387075,2,core
S01009849,0.37351114665036206,0.626488853349638,0.626488853349638,2,core
S01009850,0.6046426881112216,0.3953573118887784,0.6046426881112216,1,core
S01009851,0.33025085990207426,0.6697491400979257,0.6697491400979257,2,core
S01009852,0.5651119449429232,0.4348880550570769,0.5651119449429232,1,borderline
S01009853,0.5405157499184903,0.4594842500815096,0.5405157499184903,1,borderline
S01009854,0.48122146562458235,0.5187785343754178,0.5187785343754178,2,borderline
S01009855,0.5822751806833992,0.4177248193166008,0.5822751806833992,1,borderline
S01009856,0.8082245766047848,0.19177542339521525,0.8082245766047848,1,core
S01009857,0.6756736176526306,0.32432638234736944,0.6756736176526306,1,core
S01009858,0.7628336362360663,0.2371663637639337,0.7628336362360663,1,core
S01009859,0.1979555865219711,0.8020444134780289,0.8020444134780289,2,core
S01009860,0.17280195053976583,0.8271980494602342,0.8271980494602342,2,core
S01009861,0.22487489062787513,0.7751251093721249,0.7751251093721249,2,core
S01009862,0.2757023593970232,0.7242976406029767,0.7242976406029767,2,core
S01009863,0.39769705805679556,0.6023029419432046,0.6023029419432046,2,core
S01009864,0.4939169322718476,0.5060830677281524,0.5060830677281524,2,borderline
S01009865,0.6249407629713277,0.3750592370286723,0.6249407629713277,1,core
S01009866,0.5707361918820536,0.42926380811794634,0.5707361918820536,1,borderline
S01009867,0.4904718315752915,0.5095281684247086,0.5095281684247086,2,borderline
S01009868,0.7003877690361615,0.29961223096383854,0.7003877690361615,1,core
S01009869,0.6105215398244512,0.3894784601755488,0.6105215398244512,1,core
S01009870,0.5166232470211036,0.48337675297889626,0.5166232470211036,1,borderline
S01009871,0.3658628933285569,0.6341371066714431,0.6341371066714431,2,core
S01009872,0.5546286802890268,0.4453713197109731,0.5546286802890268,1,borderline
S01009873,0.7319100801099973,0.2680899198900027,0.7319100801099973,1,core
S01009874,0.5576456151377577,0.4423543848622422,0.5576456151377577,1,borderline
S01009875,0.43696307830190306,0.5630369216980968,0.5630369216980968,2,borderline
S01009876,0.40894075084372106,0.591059249156279,0.591059249156279,2,borderline
S01009877,0.7033034739661155,0.29669652603388447,0.7033034739661155,1,core
S01009878,0.5139459485259031,0.4860540514740968,0.5139459485259031,1,borderline
S01009879,0.6717133056268959,0.32828669437310415,0.6717133056268959,1,core
S01009880,0.7986640721839573,0.20133592781604262,0.7986640721839573,1,core
S01009881,0.5304027714470501,0.46959722855294994,0.5304027714470501,1,borderline
S01009882,0.5689755272998803,0.4310244727001197,0.5689755272998803,1,borderline
