DataZone,Attainment,crime_count,crime_rate,ALCOHOL,CIF,DEPRESS,DRUG,EMERG,LBWT,PT_GP,PT_post,PT_retail,SMR,University,broadband,drive_GP,drive_petrol,drive_post,drive_primary,drive_retail,drive_secondary,employment_count,employment_rate,income_count,income_rate,no_qualifications,nocentralheating_count,nocentralheating_rate,not_participating,overcrowded_count,overcrowded_rate
S01008163,4.92,17,206,139,145,21,36,121,9,17.47656992,5.583067282,18.66358839,151,1,9,7.104149077,4.831639182,1.688156332,3.043050847,6.49457124,6.83852518,70,13,157,19,146,2,0,3,95,13
S01008164,5.03,52,308,110,90,11,19,61,4,11.38408276,9.654713793,16.37305172,98,3,17,5.282610345,2.375,2.72607069,2.270096774,4.037265517,6.020530973,71,5,136,8,111,8,1,2,77,12
S01008165,5.74,15,130,30,40,13,0,64,4,12.89041244,7.576510152,17.2739816,92,12,21,6.70454632,4.420022208,1.546744924,2.616469136,6.212906091,6.308127753,14,2,30,3,79,0,0,2,29,4
S01008166,5.09,16,300,36,120,21,87,93,5,11.59836315,6.034320215,16.51884168,89,3,0,6.977544723,4.905080501,1.512213775,2.448082192,6.726158318,6.404902913,21,6,72,13,152,4,1,1,81,14
S01008167,4.92,18,263,65,115,20,22,110,7,8.458522099,2.774406077,13.59621547,93,2,0,6.43,4.90684047,1.094033149,1.49281893,6.726360497,5.552095588,64,15,160,23,196,0,0,3,121,17
S01008168,5,20,224,137,130,24,138,95,7,10.49118375,3.587491166,14.69740577,183,1,2,6.318194935,5.076628386,1.200712603,2.735269608,6.370014723,5.320103448,77,14,168,18,142,8,1,8,150,18
S01008169,5.19,14,183,20,115,22,40,87,4,8.860246132,5.309127989,13.35143108,90,5,2,5.546831927,4.391888186,1.894662447,1.904410377,6.265017581,4.79845679,54,11,104,13,158,2,0,6,98,14
S01008171,5.4,22,301,102,115,22,219,95,9,6.793437926,8.68978854,10.2916678,80,2,0,5.110651432,3.222950205,4.965941337,3.912890173,4.737015689,7.667319588,72,15,127,17,96,11,2,5,98,13
S01008172,6,7,127,33,60,16,0,81,11,8.957953321,10.91947038,11.90421005,109,12,0,5.636512567,3.544120287,4.838837522,3.8771875,4.589829443,7.9166,29,9,59,10,91,2,0,3,62,11
S01008173,5.76,3,47,27,80,17,23,77,7,10.1721762,11.24770331,9.522537651,81,9,0,5.597274096,3.908814006,4.634604669,2.998251748,4.270485693,7.98921875,16,3,38,6,64,4,1,0,33,5
