DataZone,raw_kmeans_k2,pc_kmeans_k2,raw_hclust_k2,pc_hclust_k2,raw_cmeans_k2,pc_cmeans_k2,raw_mclust_k2,pc_mclust_k2
S01008163,1,1,1,1,1,1,2,2
S01008164,2,2,2,1,2,2,2,2
S01008165,2,2,2,1,2,2,2,2
S01008166,1,1,1,1,1,1,2,1
S01008167,1,1,1,2,1,1,1,1
S01008168,1,1,1,2,1,1,2,2
S01008169,1,1,1,1,1,1,2,2
S01008171,1,1,1,1,1,1,2,1
S01008172,2,2,2,1,2,2,2,2
S01008173,2,2,2,1,2,2,2,2
S01008174,2,2,1,1,2,2,2,2
S01008175,1,1,1,1,1,1,1,1
S01008176,2,2,1,1,2,2,1,1
S01008177,1,1,1,1,1,1,1,2
S01008179,2,2,2,1,2,2,2,2
S01008180,2,2,2,1,2,2,2,2
S01008181,2,2,2,1,2,2,2,2
S01008182,1,1,1,1,1,1,1,1
S01008183,2,2,1,1,2,2,1,1
S01008184,1,1,1,2,1,1,1,1
S01008185,1,1,1,2,1,1,1,1
S01008186,1,1,1,2,1,1,1,1
S01008187,1,1,1,2,1,1,1,1
S01008188,1,1,1,2,1,1,1,1
S01008189,2,2,1,1,2,2,2,2
S01008190,1,1,1,1,1,1,1,1
S01008191,1,1,1,2,1,1,2,1
S01008192,1,1,1,2,1,1,1,1
S01008193,2,2,1,1,2,2,2,2
S01008194,1,1,1,1,1,1,1,1
S01008195,1,1,1,2,1,1,1,1
S01008196,1,1,1,2,1,1,2,1
S01008197,2,2,2,1,2,2,2,2
S01008198,1,1,1,2,1,1,1,1
S01008199,1,1,1,2,1,1,1,1
S01008200,1,1,1,2,1,1,1,1
S01008201,1,1,1,2,1,1,1,1
S01008202,1,1,1,2,1,1,1,1
S01008203,1,1,1,2,1,1,1,1
S01008204,1,1,1,2,1,1,1,2
S01008205,1,1,1,2,1,1,1,2
S01008206,1,1,1,2,1,1,1,1
S01008207,1,1,1,2,1,1,1,1
S01008208,2,2,1,1,2,2,2,2
S01008210,1,1,1,1,1,1,1,2
S01008211,1,1,1,1,1,1,1,2
S01008213,2,2,2,1,2,2,2,2
S01008214,1,1,1,2,1,1,1,1
S01008215,2,2,1,1,2,2,2,2
S01008217,2,2,2,1,2,2,2,2
S01008218,2,2,2,1,2,2,2,2
S01008219,1,1,1,2,1,1,1,1
S01008220,1,1,1,2,1,1,1,1
S01008221,1,1,1,2,1,1,1,1
S01008222,1,1,1,2,1,1,1,1
S01008223,1,1,1,1,1,1,1,1
S01008224,2,2,1,1,2,2,1,2
S01008225,2,2,1,1,2,2,1,2
S01008226,1,1,1,2,1,1,1,1
S01008227,1,1,1,1,1,1,1,1
S01008228,2,2,1,1,2,2,1,2
S01008229,1,1,1,1,1,1,1,1
S01008230,2,2,2,1,2,2,2,2
S01008231,2,2,2,1,2,2,2,2
S01008232,2,2,2,1,2,2,1,2
S01008233,2,2,2,1,2,2,2,2
S01008234,1,1,1,1,1,1,2,2
S01008235,1,1,1,1,1,1,2,2
S01008236,1,1,1,1,1,1,2,2
S01008237,2,2,2,1,2,2,2,2
S01008238,1,1,1,1,1,1,2,2
S01008239,2,2,2,1,1,2,2,1
S01008240,2,2,2,1,2,2,2,2
S01008241,2,2,2,1,2,2,2,2
S01008242,2,2,2,1,2,2,2,2
S01008243,2,2,2,1,2,2,2,2
S01008244,2,2,2,1,2,2,2,2
S01008245,2,2,2,1,2,2,2,2
S01008246,2,2,2,1,2,2,2,2
S01008248,2,2,2,1,2,2,2,2
S01008249,2,2,2,1,2,2,2,2
S01008250,2,2,2,1,2,2,2,2
S01008251,2,2,2,1,2,2,2,2
S01008252,2,2,2,1,2,2,2,2
S01008253,2,2,1,1,2,2,2,2
S01008254,1,1,1,1,1,1,1,2
S01008255,2,1,1,1,1,1,2,1
S01008256,1,1,1,1,1,1,1,1
S01008257,1,1,1,2,1,1,1,2
S01008258,2,2,2,1,2,2,2,2
S01008259,2,2,2,1,2,2,1,1
S01008260,1,1,1,1,1,1,1,2
S01008261,1,1,1,1,1,1,2,1
S01008262,2,2,2,1,2,2,2,2
S01008263,2,2,2,1,2,2,2,2
S01008264,2,2,2,1,2,2,2,2
S01008265,2,2,2,1,2,2,2,2
S01008266,2,2,2,1,2,2,2,2
S01008267,2,2,2,1,2,2,2,2
S01008268,2,2,2,1,2,2,2,2
S01008270,2,2,2,1,2,2,2,2
S01008271,1,1,1,2,1,1,1,1
S01008272,2,2,2,1,2,2,2,2
S01008273,2,2,2,1,2,2,2,2
S01008274,2,2,1,1,2,2,1,2
S01008275,2,2,2,1,2,2,2,2
S01008277,2,2,2,1,2,2,2,2
S01008279,2,2,1,1,2,2,2,2
S01008280,2,2,2,1,2,2,2,2
S01008282,2,2,2,1,2,2,2,2
S01008283,2,2,2,1,2,2,2,2
S01008284,2,2,2,1,2,2,2,2
S01008285,1,1,1,2,1,1,2,2
S01008286,1,1,1,1,1,1,1,2
S01008287,2,2,1,1,2,2,2,2
S01008288,2,2,1,1,2,2,1,1
S01008289,1,1,1,2,1,1,1,1
S01008290,2,2,2,1,2,2,1,1
